timestamp,device_id,device_type,cpu_usage,memory_usage,network_in_kb,network_out_kb,packet_rate,avg_response_time_ms,service_access_count,failed_auth_attempts,is_encrypted,geo_location_variation,label
2025-06-20 12:51:55.452400,thermostat_38,thermostat,66.74,75.54,77,849,372,419.92,2,7,0,18.19,Normal
2025-06-20 12:51:56.452400,smart_light_37,smart,19.92,16.7,526,1492,635,32.69,3,3,1,2.98,Normal
2025-06-20 12:51:57.452400,sensor_1,sensor,10.08,48.62,577,923,220,418.91,4,10,0,9.66,Normal
2025-06-20 12:51:58.452400,sensor_9,sensor,95.0,44.198,800,360,1684,120.25800000000001,5,6,1,15.0,Anomaly_DoS
2025-06-20 12:51:59.452400,smart_light_31,smart,50.62,48.15,104,1176,605,340.41,7,1,1,11.21,Normal
2025-06-20 12:52:00.452400,smart_light_46,smart,50.69,59.74,1351,961,789,250.53,6,7,1,3.6,Normal
2025-06-20 12:52:01.452400,smart_light_12,smart,49.08,21.17,705,106,578,157.63,8,9,1,7.53,Normal
2025-06-20 12:52:02.452400,camera_26,camera,83.42,45.47,1274,452,454,324.16,3,6,0,13.15,Normal
2025-06-20 12:52:03.452400,sensor_32,sensor,69.635,75.21600000000001,88,189,714,732.816,6,4,1,17.87,Anomaly_DoS
2025-06-20 12:52:04.452400,thermostat_5,thermostat,82.38,38.1,557,1255,429,431.46,5,6,1,8.49,Normal
2025-06-20 12:52:05.452400,sensor_10,sensor,32.33,19.49,793,494,253,101.44,4,3,1,11.12,Normal
2025-06-20 12:52:06.452400,thermostat_26,thermostat,76.96,71.51,1284,868,561,454.47,3,1,0,2.91,Normal
2025-06-20 12:52:07.452400,smart_light_25,smart,29.944,76.08,1013,527,804,199.12,13,10,0,6.43,Anomaly_Injection
2025-06-20 12:52:08.452400,sensor_28,sensor,68.59,60.05,310,195,115,332.44,1,8,1,13.21,Normal
2025-06-20 12:52:09.452400,camera_23,camera,72.56,32.69,1121,256,960,131.39,5,8,0,19.61,Normal
2025-06-20 12:52:10.452400,sensor_37,sensor,82.57,59.46,560,1053,462,72.24,8,8,0,17.43,Normal
2025-06-20 12:52:11.452400,camera_32,camera,61.132,59.93,99,212,572,151.56,13,9,0,16.74,Anomaly_Injection
2025-06-20 12:52:12.452400,camera_36,camera,62.4,84.91,372,1379,308,306.37,4,5,0,8.86,Normal
2025-06-20 12:52:13.452400,smart_light_35,smart,71.0,36.07,766,325,764,284.93,3,8,0,5.32,Normal
2025-06-20 12:52:14.452400,smart_light_45,smart,70.22,90.0,1792,1852,1331,300.942,9,4,0,17.72,Anomaly_DoS
2025-06-20 12:52:15.452400,camera_29,camera,32.31,78.45,1082,627,469,234.26,8,9,1,3.51,Normal
2025-06-20 12:52:16.452400,smart_light_36,smart,14.69,47.38,442,850,978,342.3,9,4,0,14.64,Normal
2025-06-20 12:52:17.452400,thermostat_34,thermostat,16.07,76.7,306,1298,750,422.54,3,3,1,16.15,Normal
2025-06-20 12:52:18.452400,sensor_9,sensor,58.83,16.14,1334,1316,574,237.26,4,7,1,12.05,Normal
2025-06-20 12:52:19.452400,thermostat_12,thermostat,77.34,52.44,203,466,669,330.48,5,4,1,4.81,Normal
2025-06-20 12:52:20.452400,sensor_2,sensor,31.65,46.32,597,480,830,261.93,5,4,0,8.56,Normal
2025-06-20 12:52:21.452400,camera_42,camera,64.47,23.17,1415,165,711,358.07,2,1,1,19.86,Normal
2025-06-20 12:52:22.452400,camera_49,camera,12.75,37.35,642,1206,50,287.37,2,5,1,11.45,Normal
2025-06-20 12:52:23.452400,camera_26,camera,61.71,12.56,110,136,853,464.8,4,6,0,17.5,Normal
2025-06-20 12:52:24.452400,sensor_19,sensor,48.1,40.08,801,1187,227,164.83,8,0,0,18.32,Normal
2025-06-20 12:52:25.452400,camera_47,camera,19.84,62.87,24,376,73,267.39,4,5,1,2.75,Normal
2025-06-20 12:52:26.452400,sensor_44,sensor,10.03,39.13,448,79,852,217.17,7,3,0,8.44,Normal
2025-06-20 12:52:27.452400,smart_light_7,smart,15.4,39.57,1330,21,895,335.23,9,2,1,18.32,Normal
2025-06-20 12:52:28.452400,sensor_42,sensor,79.52,12.81,427,568,701,331.35,2,1,1,14.74,Normal
2025-06-20 12:52:29.452400,sensor_14,sensor,22.45,44.23,872,1307,633,478.32,9,9,0,10.18,Normal
2025-06-20 12:52:30.452400,sensor_5,sensor,14.12,12.12,1284,754,369,156.54,3,6,0,1.46,Normal
2025-06-20 12:52:31.452400,smart_light_5,smart,34.24,58.36,583,1422,669,434.71,2,6,1,9.01,Normal
2025-06-20 12:52:32.452400,camera_43,camera,13.32,77.13,228,1210,924,232.11,4,3,1,12.0,Normal
2025-06-20 12:52:33.452400,smart_light_30,smart,69.23,58.42,11,1181,151,235.84,3,8,1,18.56,Normal
2025-06-20 12:52:34.452400,smart_light_26,smart,70.20400000000001,49.16,221,942,242,218.7,18,9,0,2.28,Anomaly_Injection
2025-06-20 12:52:35.452400,thermostat_19,thermostat,95.0,53.36300000000001,1270,949,1977,44.946,4,6,0,17.05,Anomaly_DoS
2025-06-20 12:52:36.452400,thermostat_8,thermostat,82.84,33.35,370,697,747,93.94,8,6,1,10.25,Normal
2025-06-20 12:52:37.452400,smart_light_48,smart,21.26,60.38,946,937,756,106.99,7,10,1,17.75,Normal
2025-06-20 12:52:38.452400,camera_26,camera,95.0,75.385,2396,340,919,773.676,5,0,1,16.81,Anomaly_DoS
2025-06-20 12:52:39.452400,smart_light_22,smart,65.225,65.98599999999999,2474,379,1911,303.714,9,9,1,16.55,Anomaly_DoS
2025-06-20 12:52:40.452400,sensor_24,sensor,89.67500000000001,90.0,1674,1921,1236,889.6320000000001,2,7,1,13.53,Anomaly_DoS
2025-06-20 12:52:41.452400,smart_light_7,smart,29.65,24.34,618,557,51,225.31,9,8,1,9.34,Normal
2025-06-20 12:52:42.452400,smart_light_47,smart,71.225,90.0,1526,655,1711,229.194,3,2,1,6.49,Anomaly_DoS
2025-06-20 12:52:43.452400,smart_light_20,smart,41.58,53.72,777,1118,718,41.87,2,4,0,4.3,Normal
2025-06-20 12:52:44.452400,camera_5,camera,57.81,77.14,494,1445,176,463.87,8,7,1,7.78,Normal
2025-06-20 12:52:45.452400,sensor_42,sensor,26.5,39.35,328,846,576,388.73,5,0,0,6.9,Normal
2025-06-20 12:52:46.452400,sensor_39,sensor,82.93,15.85,1215,620,185,77.77,2,2,0,2.44,Normal
2025-06-20 12:52:47.452400,camera_32,camera,46.71,36.23,541,243,661,311.74,9,2,1,3.35,Normal
2025-06-20 12:52:48.452400,smart_light_45,smart,95.0,31.302,238,1462,1036,235.152,1,3,0,13.26,Anomaly_DoS
2025-06-20 12:52:49.452400,smart_light_29,smart,45.27,22.81,1458,532,306,264.95,3,8,0,5.46,Normal
